what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1299623400519
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1299623400520
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1299623400521
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1299623400521
stopped,bundle,org.jboss.tools.vpe.docbook,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.docbook",1299623400521
stopped,bundle,org.jboss.tools.jsf.vpe.jbpm,1.0.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.jbpm",1299623400523
stopped,bundle,org.jboss.tools.jsf.vpe.ajax4jsf,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.ajax4jsf",1299623400523
stopped,bundle,org.jboss.tools.jsf.vpe.richfaces,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.richfaces",1299623400523
stopped,bundle,org.jboss.tools.jsf.vpe.seam,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.seam",1299623400523
stopped,bundle,org.jboss.tools.jsf.vpe.jsf,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.jsf",1299623400523
stopped,bundle,org.jboss.tools.vpe.html,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.html",1299623400523
stopped,bundle,org.jboss.tools.vpe.jsp,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.jsp",1299623400523
stopped,bundle,org.jboss.tools.vpe.spring,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.spring",1299623400523
stopped,bundle,org.jboss.tools.jsf.vpe.facelets,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.facelets",1299623400523
stopped,bundle,org.jboss.tools.jsf.vpe.myfaces,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.vpe.myfaces",1299623400523
stopped,bundle,org.jboss.tools.vpe,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe",1299623400523
stopped,bundle,org.jboss.tools.vpe.ui.palette,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.ui.palette",1299623400523
stopped,bundle,org.jboss.tools.jst.web.tiles.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.tiles.ui",1299623400523
stopped,bundle,org.jboss.tools.jsf.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.ui",1299623400523
stopped,bundle,org.jboss.tools.jst.web.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.ui",1299623400523
stopped,bundle,org.jboss.tools.jst.jsp,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.jsp",1299623400523
stopped,bundle,org.jboss.tools.jsf.text.ext.richfaces,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.text.ext.richfaces",1299623400523
stopped,bundle,org.jboss.tools.jsf.text.ext.facelets,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.text.ext.facelets",1299623400523
stopped,bundle,org.jboss.tools.jsf.text.ext,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.text.ext",1299623400523
stopped,bundle,org.jboss.tools.jsf.verification,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf.verification",1299623400523
stopped,bundle,org.jboss.tools.jsf,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jsf",1299623400523
stopped,bundle,org.jboss.tools.jst.text.ext,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.text.ext",1299623400523
stopped,bundle,org.jboss.tools.jst.web.kb,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.kb",1299623400523
stopped,bundle,org.jboss.tools.common.el.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.el.ui",1299623400523
stopped,bundle,org.jboss.tools.vpe.resref,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.vpe.resref",1299623400523
stopped,bundle,org.jboss.tools.common.resref.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.resref.ui",1299623400523
stopped,bundle,org.jboss.tools.common.model.ui,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.model.ui",1299623400523
stopped,bundle,org.jboss.tools.common.text.ext,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.text.ext",1299623400523
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1299623400557
stopped,bundle,org.jboss.tools.common.el.core,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.el.core",1299623400557
stopped,bundle,org.jboss.tools.common.resref.core,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.resref.core",1299623400558
stopped,bundle,org.jboss.tools.jst.web.tiles,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.tiles",1299623400558
stopped,bundle,org.jboss.tools.jst.web.verification,3.1.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web.verification",1299623400558
stopped,bundle,org.jboss.tools.jst.web,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.jst.web",1299623400558
stopped,bundle,org.jboss.tools.common.verification,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.verification",1299623400559
stopped,bundle,org.jboss.tools.common.model,3.2.0.v20101016-0359-H111-Beta1,"org.jboss.tools.common.model",1299623400560
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1299623400560
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1299623400560
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1299623400563
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1299623400564
stopped,bundle,org.jboss.ide.eclipse.as.rse.ui,0.9.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.rse.ui",1299623400564
stopped,bundle,org.jboss.ide.eclipse.as.rse.core,0.9.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.rse.core",1299623400564
stopped,bundle,org.jboss.ide.eclipse.as.ssh,2.2.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.ssh",1299623400564
stopped,bundle,org.jboss.ide.eclipse.archives.webtools,2.2.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.archives.webtools",1299623400630
stopped,bundle,org.jboss.ide.eclipse.as.ui.mbeans,2.1.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.ui.mbeans",1299623400630
stopped,bundle,org.jboss.ide.eclipse.as.ui,2.2.0.v20101016-0359-H111-Beta1,"org.jboss.ide.eclipse.as.ui",1299623400832
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1299623400832
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1299623400832
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1299623400832
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1299623400833
stopped,bundle,org.eclipse.jpt.eclipselink.ui,1.3.0.v201004280001,"org.eclipse.jpt.eclipselink.ui",1299623400833
stopped,bundle,org.eclipse.jpt.eclipselink.core,1.3.1.v201007142310,"org.eclipse.jpt.eclipselink.core",1299623400833
stopped,bundle,org.eclipse.jpt.jaxb.ui,1.0.1.v201006300000,"org.eclipse.jpt.jaxb.ui",1299623400833
stopped,bundle,org.eclipse.jpt.ui,2.3.2.v201008252310,"org.eclipse.jpt.ui",1299623400833
stopped,bundle,org.eclipse.jpt.core,2.3.2.v201008252310,"org.eclipse.jpt.core",1299623400833
stopped,bundle,org.eclipse.jpt.db,1.2.201.v201008242310,"org.eclipse.jpt.db",1299623400841
stopped,bundle,org.eclipse.datatools.enablement.jdt.classpath,1.0.1.v201004070709,"org.eclipse.datatools.enablement.jdt.classpath",1299623400842
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1299623400842
stopped,bundle,org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples,2.5.0.200810071,"org.eclipse.datatools.enablement.sybase.asa.schemaobjecteditor.examples",1299623400842
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core.ui,1.0.0.v201003161000,"org.eclipse.datatools.sqltools.debugger.core.ui",1299623400842
stopped,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1299623400842
stopped,bundle,org.eclipse.wst.xsl.jaxp.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.jaxp.debug.ui",1299623400842
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1299623400842
stopped,bundle,org.eclipse.jst.common.annotations.ui,1.1.300.v201002081900,"org.eclipse.jst.common.annotations.ui",1299623400848
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.ui,1.1.200.v201004290730,"org.eclipse.jst.j2ee.ejb.annotations.ui",1299623400848
stopped,bundle,org.eclipse.jst.ejb.ui,1.1.501.v201007070821,"org.eclipse.jst.ejb.ui",1299623400848
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.600.v201008171516,"org.eclipse.jst.ws.axis.creation.ui",1299623400848
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1299623400848
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1299623400848
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1299623400849
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1299623400849
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1299623400849
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.0.v201003311345,"org.eclipse.jst.ws.cxf.creation.ui",1299623400849
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.508.v201006011553,"org.eclipse.jst.ws.creation.ui",1299623400849
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1299623400849
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.300.v201008252303,"org.eclipse.jst.ws.consumption.ui",1299623400849
